S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
244,KIRAN KUMAR GORLE,Yuvajana Sramika Rythu Congress Party,82777,904,83681,40.51,Etcherla ,7,Andhra Pradesh 
245,GANTLANA RAMARAO,Bahujan Samaj Party,877,7,884,0.43,Etcherla ,7,Andhra Pradesh 
246,KONETI NEELACHALAM,Pyramid Party of India,183,1,184,0.09,Etcherla ,7,Andhra Pradesh 
247,BARRI KORLAYYA,Jai Bharat National Party,217,0,217,0.11,Etcherla ,7,Andhra Pradesh 
248,NADUPURU ESWARA RAO,Independent,598,3,601,0.29,Etcherla ,7,Andhra Pradesh 
249,GORLE KIRAN KUMAR,Independent,300,3,303,0.15,Etcherla ,7,Andhra Pradesh 
250,GORLE RAMBABU,Independent,679,0,679,0.33,Etcherla ,7,Andhra Pradesh 
251,RAMYA SUVVARU,Independent,830,9,839,0.41,Etcherla ,7,Andhra Pradesh 
252,NOTA,None of the Above,3938,14,3952,1.91,Etcherla ,7,Andhra Pradesh 
253,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,69281,1299,70580,39.79,Narasannapeta ,8,Andhra Pradesh 
254,MANTHRI NARASIMHAMURTHY,Indian National Congress,2180,45,2225,1.25,Narasannapeta ,8,Andhra Pradesh 
255,BAGGU RAMANAMURTHY,Telugu Desam,97394,2557,99951,56.35,Narasannapeta ,8,Andhra Pradesh 
256,KAYA KAMESWARI,Navarang Congress Party,420,12,432,0.24,Narasannapeta ,8,Andhra Pradesh 
257,CHEEPURU RAVI,Jai Bharat National Party,254,11,265,0.15,Narasannapeta ,8,Andhra Pradesh 
258,BORA VENKATA SATYENDRANATH ABIHISHEK,Independent,329,3,332,0.19,Narasannapeta ,8,Andhra Pradesh 
259,MYLAPALLI JAGADEESH,Independent,291,0,291,0.16,Narasannapeta ,8,Andhra Pradesh 
260,NOTA,None of the Above,3279,21,3300,1.86,Narasannapeta ,8,Andhra Pradesh 
261,KAMBALA RAJAVARDHANA,Indian National Congress,3655,29,3684,2.09,Rajam ,9,Andhra Pradesh 
262,KONDRU MURALI MOHAN,Telugu Desam,92105,2280,94385,53.48,Rajam ,9,Andhra Pradesh 
263,DR. TALE RAJESH,Yuvajana Sramika Rythu Congress Party,72752,911,73663,41.74,Rajam ,9,Andhra Pradesh 
264,BOCCHA BUDDUDU,Bahujan Samaj Party,514,10,524,0.3,Rajam ,9,Andhra Pradesh 
265,KUPPILI CHAITANYAKUMAR,Jai Bharat National Party,163,4,167,0.09,Rajam ,9,Andhra Pradesh 
266,PODUGU RAMAKRISHNA,Jaibhim Rao Bharat Party,185,0,185,0.1,Rajam ,9,Andhra Pradesh 
267,YENNI RAJU,Independent,461,5,466,0.26,Rajam ,9,Andhra Pradesh 
268,GANDI APPARAO,Independent,220,0,220,0.12,Rajam ,9,Andhra Pradesh 
269,MAJJI GANAPATHI,Independent,343,1,344,0.19,Rajam ,9,Andhra Pradesh 
270,MANNENA RAMESH,Independent,319,1,320,0.18,Rajam ,9,Andhra Pradesh 
271,NOTA,None of the Above,2522,14,2536,1.44,Rajam ,9,Andhra Pradesh 
272,CHANTI BABU SAVARA,Indian National Congress,1981,60,2041,1.38,Palakonda ,10,Andhra Pradesh 
273,VISWASARAYI KALAVATHI,Yuvajana Sramika Rythu Congress Party,61115,802,61917,41.73,Palakonda ,10,Andhra Pradesh 
274,VOOYAKA. BHANU CHANDAR,Bahujan Samaj Party,1567,3,1570,1.06,Palakonda ,10,Andhra Pradesh 
275,KRISHNA NIMMAKA,Jatiya Jana Sena Party,1340,23,1363,0.92,Palakonda ,10,Andhra Pradesh 
276,JAYAKRISHNA NIMMAKA,Janasena Party,73351,1857,75208,50.69,Palakonda ,10,Andhra Pradesh 
277,JAIPALU KADRAKA,Navarang Congress Party,1024,1,1025,0.69,Palakonda ,10,Andhra Pradesh 
278,BIDDIKA UMA MAHESWARA RAO,Gondwana Dandkaranya Party,964,27,991,0.67,Palakonda ,10,Andhra Pradesh 
279,NOTA,None of the Above,4248,12,4260,2.87,Palakonda ,10,Andhra Pradesh 
280,JAGADEESWARI THOYAKA,Telugu Desam,81186,2169,83355,53.68,Kurupam ,11,Andhra Pradesh 
281,TADANGI MINNARAO,Bahujan Samaj Party,1424,8,1432,0.92,Kurupam ,11,Andhra Pradesh 
282,PAMULA PUSHPA SREEVANI,Yuvajana Sramika Rythu Congress Party,59260,595,59855,38.54,Kurupam ,11,Andhra Pradesh 
283,MANDANGI RAMANA,Communist Party of India (Marxist),3868,55,3923,2.53,Kurupam ,11,Andhra Pradesh 
284,ADDAKULA GEETHARANI,Independent,763,4,767,0.49,Kurupam ,11,Andhra Pradesh 
285,TADANGI SRIHARI RAO NAIDU,Independent,502,6,508,0.33,Kurupam ,11,Andhra Pradesh 
286,MOSURU NAGA BUSHAN,Independent,689,1,690,0.44,Kurupam ,11,Andhra Pradesh 
287,NOTA,None of the Above,4753,8,4761,3.07,Kurupam ,11,Andhra Pradesh 
288,ALAJANGI JOGARAO,Yuvajana Sramika Rythu Congress Party,58618,873,59491,39.23,Parvathipuram ,12,Andhra Pradesh 
289,KUPPILI VENKATA RAMANA,Bahujan Samaj Party,947,7,954,0.63,Parvathipuram ,12,Andhra Pradesh 
290,BATHINA MOHANARAO,Indian National Congress,1614,26,1640,1.08,Parvathipuram ,12,Andhra Pradesh 
291,BONELA VIJAYA CHANDRA,Telugu Desam,81988,1917,83905,55.33,Parvathipuram ,12,Andhra Pradesh 
292,GUNTA JYOTHI,Jaibhim Rao Bharat Party,625,1,626,0.41,Parvathipuram ,12,Andhra Pradesh 
293,POTNURU KIRAN KUMAR(RAJ KIRAN),Jai Bharat National Party,295,4,299,0.2,Parvathipuram ,12,Andhra Pradesh 
294,UDAYA BHANU GARBHAPU,Independent,641,13,654,0.43,Parvathipuram ,12,Andhra Pradesh 
295,GARBHAPU MOHANA RAO,Independent,599,0,599,0.4,Parvathipuram ,12,Andhra Pradesh 
296,NOTA,None of the Above,3456,9,3465,2.29,Parvathipuram ,12,Andhra Pradesh 
297,GUMMIDI SANDHYARANI,Telugu Desam,78872,1339,80211,50.65,Salur ,13,Andhra Pradesh 
298,MUVVALA GNANAPRAKASAM,Bahujan Samaj Party,1368,4,1372,0.87,Salur ,13,Andhra Pradesh 
299,MUVVALA PUSPHARAO,Indian National Congress,2225,14,2239,1.41,Salur ,13,Andhra Pradesh 
300,RAJANNA DORA PEEDIKA,Yuvajana Sramika Rythu Congress Party,65814,664,66478,41.98,Salur ,13,Andhra Pradesh 
301,PUSURU SAI,Samajwadi Party,748,1,749,0.47,Salur ,13,Andhra Pradesh 
302,KANCHURI BANGARU RAJU,Independent,685,1,686,0.43,Salur ,13,Andhra Pradesh 
303,KELLA MURALI,Independent,877,0,877,0.55,Salur ,13,Andhra Pradesh 
304,NOTA,None of the Above,5735,8,5743,3.63,Salur ,13,Andhra Pradesh 
305,MARIPI VIDYASAGAR (VINAY),Indian National Congress,4753,29,4782,2.53,Bobbili ,14,Andhra Pradesh 
306,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desam,110111,2255,112366,59.45,Bobbili ,14,Andhra Pradesh 
307,VENKATA CHINA APPALA NAIDU SAMBANGI,Yuvajana Sramika Rythu Congress Party,66875,843,67718,35.83,Bobbili ,14,Andhra Pradesh 
308,SAVALAPURAM RAMANA,Bahujan Samaj Party,596,3,599,0.32,Bobbili ,14,Andhra Pradesh 
309,KIRAN KUMAR. REDDY,Samajwadi Party,173,2,175,0.09,Bobbili ,14,Andhra Pradesh 
310,MARADANA. VENKATA NAIDU,Jaibhim Rao Bharat Party,232,2,234,0.12,Bobbili ,14,Andhra Pradesh 
311,PRASANTH AKETI,Independent,327,3,330,0.17,Bobbili ,14,Andhra Pradesh 
312,MARRAPU BHANU MURTY.,Independent,259,0,259,0.14,Bobbili ,14,Andhra Pradesh 
313,NOTA,None of the Above,2551,10,2561,1.35,Bobbili ,14,Andhra Pradesh 
314,AADINARAYANA JAMMU,Indian National Congress,4075,12,4087,2.36,Cheepurupalle ,15,Andhra Pradesh 
315,KALAVENKATARAO KIMIDI,Telugu Desam,87083,1142,88225,50.98,Cheepurupalle ,15,Andhra Pradesh 
316,BOTCHA SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,75444,810,76254,44.06,Cheepurupalle ,15,Andhra Pradesh 
317,SABBI SATYANARAYANA,Bahujan Samaj Party,519,1,520,0.3,Cheepurupalle ,15,Andhra Pradesh 
318,ADAPAKA SURIBABU,Reforms Party of India,207,0,207,0.12,Cheepurupalle ,15,Andhra Pradesh 
319,KANIGIRI SRINIVASARAO,Jaibhim Rao Bharat Party,466,2,468,0.27,Cheepurupalle ,15,Andhra Pradesh 
320,GURUGUBELLI APPALANAIDU,Independent,438,1,439,0.25,Cheepurupalle ,15,Andhra Pradesh 
321,NOTA,None of the Above,2848,7,2855,1.65,Cheepurupalle ,15,Andhra Pradesh 
322,APPALANARASAYYA BOTCHA,Yuvajana Sramika Rythu Congress Party,71914,836,72750,40.8,Gajapathinagaram ,16,Andhra Pradesh 
323,KONDAPALLI SRINIVAS,Telugu Desam,96313,1738,98051,54.99,Gajapathinagaram ,16,Andhra Pradesh 
324,CHELLUBOINA SRINU,Bahujan Samaj Party,781,5,786,0.44,Gajapathinagaram ,16,Andhra Pradesh 
325,DOLA. SRINIVAS,Indian National Congress,1298,17,1315,0.74,Gajapathinagaram ,16,Andhra Pradesh 
326,KAKARLAPUDI SANDHYA,Pyramid Party of India,139,1,140,0.08,Gajapathinagaram ,16,Andhra Pradesh 
327,KILAPARTHI KUMAR RAJA,Samajwadi Party,171,2,173,0.1,Gajapathinagaram ,16,Andhra Pradesh 
328,KOTTHALI GOWRI NAIDU,Naba Bharata Nirmana Seva Party,185,0,185,0.1,Gajapathinagaram ,16,Andhra Pradesh 
329,PENTA SANKARARAO,Jaibhim Rao Bharat Party,140,3,143,0.08,Gajapathinagaram ,16,Andhra Pradesh 
330,LENKA SURYARAO,Jai Bharat Party,133,0,133,0.07,Gajapathinagaram ,16,Andhra Pradesh 
331,APPALANAIDU KILARI,Independent,133,1,134,0.08,Gajapathinagaram ,16,Andhra Pradesh 
332,KURMINAIDU GADAPU,Independent,157,0,157,0.09,Gajapathinagaram ,16,Andhra Pradesh 
333,TALUPULA. SANKAR RAO,Independent,230,0,230,0.13,Gajapathinagaram ,16,Andhra Pradesh 
334,MULAGADA DURGA RAO,Independent,387,0,387,0.22,Gajapathinagaram ,16,Andhra Pradesh 
335,NOTA,None of the Above,3712,17,3729,2.09,Gajapathinagaram ,16,Andhra Pradesh 
336,APPALANAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party,69409,677,70086,36.83,Nellimarla ,17,Andhra Pradesh 
337,YERUKONDA TEJA RANI,Bahujan Samaj Party,1376,20,1396,0.73,Nellimarla ,17,Andhra Pradesh 
338,SARAGADA RAMESH KUMAR,Indian National Congress,1638,29,1667,0.88,Nellimarla ,17,Andhra Pradesh 
339,ADAPAKA SURIBABU,Reforms Party of India,431,2,433,0.23,Nellimarla ,17,Andhra Pradesh 
340,KARRI KRISHAN,Samajwadi Party,271,2,273,0.14,Nellimarla ,17,Andhra Pradesh 
341,TOMPALA NARASAYYA,Jaibhim Rao Bharat Party,299,1,300,0.16,Nellimarla ,17,Andhra Pradesh 
342,NADIPENA SRINU,Akhil Bharatiya Jan Sangh,312,5,317,0.17,Nellimarla ,17,Andhra Pradesh 
343,MAJJI NAGAMANI,Jatiya Jana Sena Party,298,10,308,0.16,Nellimarla ,17,Andhra Pradesh 
344,LENKA MADHAVI,Navarang Congress Party,1438,7,1445,0.76,Nellimarla ,17,Andhra Pradesh 
345,LOKAM NAGA MADHAVI,Janasena Party,108319,1596,109915,57.75,Nellimarla ,17,Andhra Pradesh 
346,KANDAMMATIL JAYESH,Independent,406,0,406,0.21,Nellimarla ,17,Andhra Pradesh 
347,PASUPULETI SATYA PRASAD BABU,Independent,463,0,463,0.24,Nellimarla ,17,Andhra Pradesh 
348,NOTA,None of the Above,3299,6,3305,1.74,Nellimarla ,17,Andhra Pradesh 
349,ADITI VIJAYALAKSHMI GAJAPATHI RAJU PUSAPATI,Telugu Desam,117808,3433,121241,64.21,Vizianagaram ,18,Andhra Pradesh 
350,ARJI SIVAPRASAD,Bahujan Samaj Party,749,10,759,0.4,Vizianagaram ,18,Andhra Pradesh 
351,KOLAGATLA VEERABHADRA SWAMY,Yuvajana Sramika Rythu Congress Party,59350,1282,60632,32.11,Vizianagaram ,18,Andhra Pradesh 
352,SATISH KUMAR SUNKARI,Indian National Congress,1488,39,1527,0.81,Vizianagaram ,18,Andhra Pradesh 
353,KARUNAKAR PENUMATSA,Samajwadi Party,148,5,153,0.08,Vizianagaram ,18,Andhra Pradesh 
354,KALLA SURI BABU,Jatiya Jana Sena Party,42,3,45,0.02,Vizianagaram ,18,Andhra Pradesh 
355,MB. GURUNADHA. SHARMA,Yuga Thulasi Party,97,1,98,0.05,Vizianagaram ,18,Andhra Pradesh 
356,CHINTAPALLI. DURGARAO,Jaibhim Rao Bharat Party,86,0,86,0.05,Vizianagaram ,18,Andhra Pradesh 
357,POLIPALLI KIRAN KUMAR,Akhil Bharatiya Jan Sangh,69,0,69,0.04,Vizianagaram ,18,Andhra Pradesh 
358,GEETHA MEESALA,Independent,1961,93,2054,1.09,Vizianagaram ,18,Andhra Pradesh 
359,DUDDU VENKATA RAMANA,Independent,54,1,55,0.03,Vizianagaram ,18,Andhra Pradesh 
360,PADALA ADINARAYANA,Independent,68,0,68,0.04,Vizianagaram ,18,Andhra Pradesh 
361,PANDRINKI VENKATA RAMANA,Independent,102,0,102,0.05,Vizianagaram ,18,Andhra Pradesh 
362,BHASKARA RAO CHINTAPALI,Independent,363,0,363,0.19,Vizianagaram ,18,Andhra Pradesh 
363,SURESH KANDIVALASA,Independent,189,1,190,0.1,Vizianagaram ,18,Andhra Pradesh 
364,NOTA,None of the Above,1341,24,1365,0.72,Vizianagaram ,18,Andhra Pradesh 
365,KADUBANDI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,71385,851,72236,37.97,Srungavarapukota ,19,Andhra Pradesh 
366,KOLLA LALITHA KUMARI,Telugu Desam,109110,1916,111026,58.36,Srungavarapukota ,19,Andhra Pradesh 
367,GEDELA TIRUPATI,Indian National Congress,1889,29,1918,1.01,Srungavarapukota ,19,Andhra Pradesh 
368,BONU KRISHNA,Bahujan Samaj Party,677,6,683,0.36,Srungavarapukota ,19,Andhra Pradesh 
369,VINNAKOTA JAGANNADHA RAO,Samajwadi Party,87,1,88,0.05,Srungavarapukota ,19,Andhra Pradesh 
370,VENKATA RAO YALLA,Jatiya Jana Sena Party,64,4,68,0.04,Srungavarapukota ,19,Andhra Pradesh 
371,GOLLA ESWARA RAO,Independent,113,1,114,0.06,Srungavarapukota ,19,Andhra Pradesh 
372,CHIPPADA SESHAGIRI RAO,Independent,146,8,154,0.08,Srungavarapukota ,19,Andhra Pradesh 
373,PIDIDHI ESWARAMMA,Independent,92,1,93,0.05,Srungavarapukota ,19,Andhra Pradesh 
374,BHASKARABHATLA PUSHPALATHA,Independent,147,1,148,0.08,Srungavarapukota ,19,Andhra Pradesh 
375,LOKABHI RAMAKOTI KOTYADA,Independent,1400,18,1418,0.75,Srungavarapukota ,19,Andhra Pradesh 
376,VARADI CHIRANJEEVI,Independent,338,1,339,0.18,Srungavarapukota ,19,Andhra Pradesh 
377,NOTA,None of the Above,1958,11,1969,1.03,Srungavarapukota ,19,Andhra Pradesh 
378,VENKATA VARMARAJU ADDALA,Indian National Congress,5073,74,5147,1.85,Bhimili ,20,Andhra Pradesh 
379,GANTA SRINIVASA RAO,Telugu Desam,173467,2763,176230,63.34,Bhimili ,20,Andhra Pradesh 
380,BAGAM GOPALA RAO,Bahujan Samaj Party,2504,19,2523,0.91,Bhimili ,20,Andhra Pradesh 
381,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,82732,1097,83829,30.13,Bhimili ,20,Andhra Pradesh 
382,ELIPILLI ANIL KUMAR,Jai Bharat National Party,591,9,600,0.22,Bhimili ,20,Andhra Pradesh 
383,KOLA HARIBABU,Republican Party of India (A),397,1,398,0.14,Bhimili ,20,Andhra Pradesh 
384,GANTA SRINIVASARAO,Jatiya Jana Sena Party,175,8,183,0.07,Bhimili ,20,Andhra Pradesh 
385,CHODIPALLI RAJU,Samajwadi Party,133,1,134,0.05,Bhimili ,20,Andhra Pradesh 
386,CHOPPALLI SARAVAN GANESH,Independent,393,0,393,0.14,Bhimili ,20,Andhra Pradesh 
387,NAGAMANI NAGOTU,Independent,255,4,259,0.09,Bhimili ,20,Andhra Pradesh 
388,NOOKALA SURYA PRAKASH,Independent,279,9,288,0.1,Bhimili ,20,Andhra Pradesh 
389,NANDIKOLLA SANDHYA,Independent,163,1,164,0.06,Bhimili ,20,Andhra Pradesh 
390,BAVISETTY RAMANA BABU,Independent,508,4,512,0.18,Bhimili ,20,Andhra Pradesh 
391,BUGATHA RAMU,Independent,4002,30,4032,1.45,Bhimili ,20,Andhra Pradesh 
392,MEKA SATHYA KIRAN,Independent,482,0,482,0.17,Bhimili ,20,Andhra Pradesh 
393,NOTA,None of the Above,3028,33,3061,1.1,Bhimili ,20,Andhra Pradesh 
394,GUTHULA SRINIVAS RAO,Indian National Congress,3379,51,3430,1.69,Visakhapatnam East,21,Andhra Pradesh 
395,JOSEPH PETER,Bahujan Samaj Party,483,11,494,0.24,Visakhapatnam East,21,Andhra Pradesh 
396,RAMAKRISHNA BABU VELAGAPUDI,Telugu Desam,129690,2357,132047,64.89,Visakhapatnam East,21,Andhra Pradesh 
397,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,60061,1109,61170,30.06,Visakhapatnam East,21,Andhra Pradesh 
398,ADAPAKA DALI RAJU,Naba Bharata Nirmana Seva Party,242,4,246,0.12,Visakhapatnam East,21,Andhra Pradesh 
399,DR.GANAPATHI. KONGARAPU,Republican Party of India (A),161,1,162,0.08,Visakhapatnam East,21,Andhra Pradesh 
400,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,152,3,155,0.08,Visakhapatnam East,21,Andhra Pradesh 
401,YEDLA VENUGOPALA KRISHNA (SUMAN),Bharatha Chaitanya Yuvajana Party,90,2,92,0.05,Visakhapatnam East,21,Andhra Pradesh 
402,E. HYMAVATHI,Pyramid Party of India,85,1,86,0.04,Visakhapatnam East,21,Andhra Pradesh 
403,ANAGANI SHIVA RAMAKRISHNA,Independent,148,3,151,0.07,Visakhapatnam East,21,Andhra Pradesh 
404,ADADA RAMANI,Independent,130,1,131,0.06,Visakhapatnam East,21,Andhra Pradesh 
405,UMMIDI. BHASKAR RAO,Independent,150,0,150,0.07,Visakhapatnam East,21,Andhra Pradesh 
406,BARLA APPALA PADMAKAR YADAV,Independent,164,0,164,0.08,Visakhapatnam East,21,Andhra Pradesh 
407,VADDI SIRISHA,Independent,3487,21,3508,1.72,Visakhapatnam East,21,Andhra Pradesh 
408,NOTA,None of the Above,1495,13,1508,0.74,Visakhapatnam East,21,Andhra Pradesh 
409,KADIRI RAMU,Bahujan Samaj Party,924,8,932,0.67,Visakhapatnam South,22,Andhra Pradesh 
410,GANESH KUMAR VASUPALLI,Yuvajana Sramika Rythu Congress Party,32730,544,33274,23.88,Visakhapatnam South,22,Andhra Pradesh 
411,VASUPALLI SANTOSH KUMAR,Indian National Congress,3879,61,3940,2.83,Visakhapatnam South,22,Andhra Pradesh 
412,GUNTU .DURGA PRASAD,Bhartiya Rashtriya Dal,212,2,214,0.15,Visakhapatnam South,22,Andhra Pradesh 
413,BURA SRINIVASU RAO,Praja Prasthanam Party,108,0,108,0.08,Visakhapatnam South,22,Andhra Pradesh 
414,YERRAMSETTY SURESH KUMAR,Jai Bharat National Party,374,8,382,0.27,Visakhapatnam South,22,Andhra Pradesh 
415,RAVADA TATA RAO,Naba Bharata Nirmana Seva Party,232,0,232,0.17,Visakhapatnam South,22,Andhra Pradesh 
416,VAMSI KIRTHI KUMAR BUDDHAVARAPU,Jatiya Jana Sena Party,548,3,551,0.4,Visakhapatnam South,22,Andhra Pradesh 
417,CH.VAMSI KRISHNA SRINIVAS,Janasena Party,96586,1282,97868,70.24,Visakhapatnam South,22,Andhra Pradesh 
418,K. SRIDEVI,Jai Maha Bharath Party,118,0,118,0.08,Visakhapatnam South,22,Andhra Pradesh 
419,SURADA YELLAJI,Samajwadi Party,99,0,99,0.07,Visakhapatnam South,22,Andhra Pradesh 
420,KADAGALA ESWARARAO,Independent,66,0,66,0.05,Visakhapatnam South,22,Andhra Pradesh 
421,KILLAPARTHI MANGARATNAM,Independent,316,1,317,0.23,Visakhapatnam South,22,Andhra Pradesh 
422,DOLA JAGADESH,Independent,130,1,131,0.09,Visakhapatnam South,22,Andhra Pradesh 
423,THARAKARAM LAGISETTI.,Independent,194,0,194,0.14,Visakhapatnam South,22,Andhra Pradesh 
424,J.BIPIN KUMAR JAIN,Independent,271,0,271,0.19,Visakhapatnam South,22,Andhra Pradesh 
425,NOTA,None of the Above,614,17,631,0.45,Visakhapatnam South,22,Andhra Pradesh 
426,KANNAPARAJU KAMMILA (K.K. RAJU),Yuvajana Sramika Rythu Congress Party,60146,1121,61267,32.55,Visakhapatnam North,23,Andhra Pradesh 
427,PEDDADA KANAKAMAHALAKSHMI,Bahujan Samaj Party,924,14,938,0.5,Visakhapatnam North,23,Andhra Pradesh 
428,LAKKARAJU RAMA RAO,Indian National Congress,4174,78,4252,2.26,Visakhapatnam North,23,Andhra Pradesh 
429,VISHNU KUMAR RAJU PENMETSA,Bharatiya Janata Party,107128,1673,108801,57.81,Visakhapatnam North,23,Andhra Pradesh 
430,GUMPULA SARAT BABU,Samajwadi Party,394,1,395,0.21,Visakhapatnam North,23,Andhra Pradesh 
431,CHINTADA SURYAMU,Naba Bharata Nirmana Seva Party,231,0,231,0.12,Visakhapatnam North,23,Andhra Pradesh 
432,P. JAGADEESH,Jatiya Jana Sena Party,80,7,87,0.05,Visakhapatnam North,23,Andhra Pradesh 
433,LAKSHMI NARAYANA V.V. (J D LAKSHMI NARAYANA),Jai Bharat National Party,4960,200,5160,2.74,Visakhapatnam North,23,Andhra Pradesh 
434,KONETI ESWARA VEERA BHADRACHARI,Independent,77,0,77,0.04,Visakhapatnam North,23,Andhra Pradesh 
435,CHAPPA RAMUNAIDU,Independent,81,4,85,0.05,Visakhapatnam North,23,Andhra Pradesh 
436,BODDU SRINIVAS,Independent,102,2,104,0.06,Visakhapatnam North,23,Andhra Pradesh 
437,BORRA RAMESH,Independent,81,0,81,0.04,Visakhapatnam North,23,Andhra Pradesh 
438,YALAMANCHILI SAHITHI,Independent,112,1,113,0.06,Visakhapatnam North,23,Andhra Pradesh 
439,RONANKI CHALAPATHI RAO,Independent,176,0,176,0.09,Visakhapatnam North,23,Andhra Pradesh 
440,VADDI SIRISHA,Independent,5222,89,5311,2.82,Visakhapatnam North,23,Andhra Pradesh 
441,NOTA,None of the Above,1108,22,1130,0.6,Visakhapatnam North,23,Andhra Pradesh 
442,ATHUKUMSETTI RAMA CHANDRA RAO,Bahujan Samaj Party,1152,5,1157,0.77,Visakhapatnam West,24,Andhra Pradesh 
443,ADARI ANAND KUMAR,Yuvajana Sramika Rythu Congress Party,54998,623,55621,36.83,Visakhapatnam West,24,Andhra Pradesh 
444,P.G.V.R.NAIDU(GANABABU),Telugu Desam,89706,1099,90805,60.13,Visakhapatnam West,24,Andhra Pradesh 
445,ATHILI VIMALA,Communist Party of India,981,18,999,0.66,Visakhapatnam West,24,Andhra Pradesh 
446,BOTTA KOTESWARA RAO,Bharatha Chaitanya Yuvajana Party,137,0,137,0.09,Visakhapatnam West,24,Andhra Pradesh 
447,MANDAPATI SRINIVAS RAJU,Jatiya Jana Sena Party,159,6,165,0.11,Visakhapatnam West,24,Andhra Pradesh 
448,RAVI KUMAR VELAGADA,Samajwadi Party,69,0,69,0.05,Visakhapatnam West,24,Andhra Pradesh 
449,VENKATA GANESH JAGGUMANTRI,Jai Bharat National Party,414,9,423,0.28,Visakhapatnam West,24,Andhra Pradesh 
450,KOYELADA JAGADEESH,Independent,111,1,112,0.07,Visakhapatnam West,24,Andhra Pradesh 
451,JAMI PARVATHI,Independent,155,0,155,0.1,Visakhapatnam West,24,Andhra Pradesh 
452,PEDIREDLA NANAJI,Independent,71,2,73,0.05,Visakhapatnam West,24,Andhra Pradesh 
453,VINJAMURI KIRAN KUMAR,Independent,134,1,135,0.09,Visakhapatnam West,24,Andhra Pradesh 
454,HANUMANTHU SIVA CHANUKYA DORA,Independent,155,0,155,0.1,Visakhapatnam West,24,Andhra Pradesh 
455,NOTA,None of the Above,986,16,1002,0.66,Visakhapatnam West,24,Andhra Pradesh 
456,AVSS AMARNATH GUDIVADA,Yuvajana Sramika Rythu Congress Party,61529,939,62468,26.66,Gajuwaka ,25,Andhra Pradesh 
457,MARADANA JAGGUNAIDU,Communist Party of India (Marxist),3831,139,3970,1.69,Gajuwaka ,25,Andhra Pradesh 
458,APPARAO NANDIKOLLA,Bahujan Samaj Party,1123,11,1134,0.48,Gajuwaka ,25,Andhra Pradesh 
459,PALLA SRINIVAS RAO,Telugu Desam,155587,2116,157703,67.3,Gajuwaka ,25,Andhra Pradesh 
460,THOTA AKKAIAH,Loktantrik Janta Dal,537,0,537,0.23,Gajuwaka ,25,Andhra Pradesh 
461,KANDREGULA ADINARAYANA,Jai Maha Bharath Party,179,1,180,0.08,Gajuwaka ,25,Andhra Pradesh 
462,TALAPULA SAILAJA,Praja Prasthanam Party,121,1,122,0.05,Gajuwaka ,25,Andhra Pradesh 
463,ANAND KILARI,Praja Shanthi Party,1669,31,1700,0.73,Gajuwaka ,25,Andhra Pradesh 
464,BATHULA NEELAKANTAM,Naba Bharata Nirmana Seva Party,125,2,127,0.05,Gajuwaka ,25,Andhra Pradesh 
465,SAMUEL JOHN DHARMARAJU RAYAPATI,Dalita Bahujana Party,103,3,106,0.05,Gajuwaka ,25,Andhra Pradesh 
466,SUNKASURI SARAH JYOTHI,Navataram Party,136,2,138,0.06,Gajuwaka ,25,Andhra Pradesh 
467,KAKARLAMUDI KRISHNA PRADEEP,Independent,4285,31,4316,1.84,Gajuwaka ,25,Andhra Pradesh 
468,KOVIRI KRISHNA,Independent,130,3,133,0.06,Gajuwaka ,25,Andhra Pradesh 
469,SRINUVASA RAO SEEMAKURTHI,Independent,177,0,177,0.08,Gajuwaka ,25,Andhra Pradesh 
470,NOTA,None of the Above,1490,28,1518,0.65,Gajuwaka ,25,Andhra Pradesh 
471,KARANAM DHARMASRI,Yuvajana Sramika Rythu Congress Party,66706,756,67462,36.32,Chodavaram ,26,Andhra Pradesh 
472,JAGATA SRINIVASURAO,Indian National Congress,2496,31,2527,1.36,Chodavaram ,26,Andhra Pradesh 
473,VEGI MAHALAKSHMI NAIDU,Bahujan Samaj Party,1166,13,1179,0.63,Chodavaram ,26,Andhra Pradesh 
474,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu Desam,107871,1780,109651,59.03,Chodavaram ,26,Andhra Pradesh 
475,SAVARALA GANESH,Communist Party of India (Marxist-Leninist) (Liberation),671,5,676,0.36,Chodavaram ,26,Andhra Pradesh 
476,PERICHRLA VIVEKA RAJU,Independent,394,3,397,0.21,Chodavaram ,26,Andhra Pradesh 
477,NOTA,None of the Above,3825,24,3849,2.07,Chodavaram ,26,Andhra Pradesh 
478,ANURADHA ERLI,Yuvajana Sramika Rythu Congress Party,63018,825,63843,38.64,Madugula ,27,Andhra Pradesh 
